InvoiceNo,InvoiceDate,CustomerID,Country,Quantity,UnitPrice,TotalPrice
INV15271,26-10-2022,11327,USA,-2,425.46,-850.92
INV10092,09-03-2022,10934,UK,2,425.46,850.92
INV14855,12-12-2022,11138,France,2,425.46,850.92
INV11248,15-10-2022,11229,Germany,4,425.46,1701.84
INV11685,09-04-2022,10289,Germany,-1,425.46,-425.46
INV12404,09-01-2022,12744,UK,-2,425.46,-850.92
INV10931,17-03-2023,12403,Germany,14,425.46,5956.44
INV12627,01-02-2022,11244,UK,4,425.46,1701.84
INV15339,06-01-2023,10633,India,7,425.46,2978.22
INV14577,05-10-2022,11894,USA,12,425.46,5105.52
INV15139,19-09-2022,10211,France,2,425.46,850.92
INV10787,03-01-2022,11753,UK,-2,425.46,-850.92
INV10033,11-01-2022,10399,France,12,425.46,5105.52
INV13195,02-04-2023,10790,UK,1,425.46,425.46
INV15406,07-05-2022,10425,Germany,0,425.46,0
INV11865,06-08-2022,10189,France,5,425.46,2127.3
INV15085,06-07-2022,11223,France,2,425.46,850.92
INV11439,12-01-2022,11425,USA,12,425.46,5105.52
INV15250,20-03-2023,10639,UK,3,425.46,1276.38
INV15203,20-02-2023,,Germany,8,425.46,3403.68
INV14018,10-02-2022,12756,India,2,425.46,850.92
INV14498,24-06-2022,12138,UK,-2,425.46,-850.92
INV15751,14-11-2022,12376,India,12,425.46,5105.52
INV13651,15-02-2023,10371,UK,7,425.46,2978.22
INV10047,14-02-2023,12320,India,-1,425.46,-425.46
INV10784,04-12-2022,12655,USA,2,425.46,850.92
INV10349,11-06-2023,12690,USA,-1,425.46,-425.46
INV12155,11-08-2022,11879,France,-1,425.46,-425.46
INV14489,26-01-2022,10876,France,3,425.46,1276.38
INV10844,29-07-2022,10633,Germany,5,425.46,2127.3
INV15955,12-08-2022,10438,Germany,8,425.46,3403.68
INV14718,07-01-2022,12883,UK,13,425.46,5530.98
INV14750,30-11-2022,12588,India,1,425.46,425.46
INV14732,10-02-2022,11658,India,14,425.46,5956.44
INV14372,04-12-2022,12887,Germany,1,425.46,425.46
INV14405,25-06-2022,10082,France,7,425.46,2978.22
INV12044,10-05-2023,10956,France,13,425.46,5530.98
INV14923,10-11-2022,11584,Germany,8,425.46,3403.68
INV11840,20-01-2022,11950,India,5,425.46,2127.3
INV12308,13-01-2022,10856,India,9,425.46,3829.14
INV11835,06-04-2022,10245,India,13,425.46,5530.98
INV15594,07-12-2022,12078,Germany,6,425.46,2552.76
INV15882,21-07-2022,11157,France,7,425.46,2978.22
INV13638,12-04-2022,10397,France,2,425.46,850.92
INV13627,13-03-2023,10955,UK,12,425.46,5105.52
INV13287,07-06-2023,11261,USA,8,425.46,3403.68
INV10973,20-01-2023,12351,USA,14,425.46,5956.44
INV14135,31-03-2022,12609,France,8,425.46,3403.68
INV11155,12-05-2022,10568,France,12,425.46,5105.52
INV13485,12-03-2022,12156,UK,-1,425.46,-425.46
INV14556,12-02-2023,12710,France,7,425.46,2978.22
INV12895,11-12-2022,12738,USA,10,425.46,4254.6
INV13720,01-02-2022,10262,UK,5,425.46,2127.3
INV10566,17-01-2022,11098,UK,2,425.46,850.92
INV14774,28-11-2022,10627,UK,14,425.46,5956.44
INV10373,30-04-2022,10694,France,-2,425.46,-850.92
INV12758,05-08-2022,10731,USA,11,425.46,4680.06
INV13733,29-03-2023,10674,Germany,10,425.46,4254.6
INV14140,20-06-2022,12993,India,13,425.46,5530.98
INV13035,14-05-2023,11113,USA,10,425.46,4254.6
INV10647,16-04-2023,11891,USA,1,425.46,425.46
INV13793,09-07-2022,12984,France,11,425.46,4680.06
INV14591,03-03-2022,10529,France,14,425.46,5956.44
INV10197,17-04-2022,10482,Germany,-2,425.46,-850.92
INV12148,17-05-2022,10588,India,13,425.46,5530.98
INV13252,25-03-2022,,Germany,3,425.46,1276.38
INV11001,15-03-2022,12158,Germany,0,425.46,0
INV10169,15-04-2022,11065,India,-2,425.46,-850.92
INV14125,22-01-2023,11888,UK,10,425.46,4254.6
INV12330,07-02-2022,12189,Germany,7,425.46,2978.22
INV15952,29-08-2022,10813,France,0,425.46,0
INV12238,12-04-2022,11166,India,11,425.46,4680.06
INV10726,14-06-2022,10324,UK,5,425.46,2127.3
INV15858,04-09-2022,10370,USA,-1,425.46,-425.46
INV14742,18-10-2022,10472,UK,9,425.46,3829.14
INV11954,01-01-2023,12905,India,6,425.46,2552.76
INV10443,25-04-2022,12553,Germany,8,425.46,3403.68
INV10106,21-01-2022,12927,France,7,425.46,2978.22
INV15469,18-12-2022,11657,Germany,0,425.46,0
INV14582,19-04-2022,10654,France,7,425.46,2978.22
INV15354,09-06-2023,10092,Germany,2,425.46,850.92
INV12895,11-03-2022,11002,Germany,-2,425.46,-850.92
INV10049,09-02-2023,12282,France,1,425.46,425.46
INV11462,24-03-2022,11578,France,12,425.46,5105.52
INV15452,28-05-2023,10628,USA,14,425.46,5956.44
INV15737,01-03-2023,12743,India,13,425.46,5530.98
INV15096,13-11-2022,11719,France,11,425.46,4680.06
INV15084,26-01-2023,12788,UK,8,425.46,3403.68
INV10182,09-02-2023,10645,USA,7,425.46,2978.22
INV11711,09-06-2022,10119,USA,2,425.46,850.92
INV14041,11-09-2022,12092,India,9,425.46,3829.14
INV12647,22-02-2023,,India,0,425.46,0
INV15781,17-04-2022,11100,India,9,425.46,3829.14
INV13332,27-12-2022,10085,Germany,13,425.46,5530.98
INV10233,04-03-2023,12835,India,8,425.46,3403.68
INV13960,13-04-2023,10268,USA,1,425.46,425.46
INV14565,30-06-2022,10806,France,1,425.46,425.46
INV14181,31-03-2023,10901,France,1,425.46,425.46
INV11694,19-03-2022,10156,Germany,10,425.46,4254.6
INV13947,15-08-2022,10026,USA,13,425.46,5530.98
INV12524,14-12-2022,10115,India,4,425.46,1701.84
INV11848,29-04-2022,10567,UK,0,425.46,0
INV11843,23-07-2022,10529,USA,0,425.46,0
INV11207,27-01-2023,11739,Germany,0,425.46,0
INV11100,10-10-2022,11098,Germany,5,425.46,2127.3
INV13949,16-07-2022,11155,France,12,425.46,5105.52
INV15028,21-01-2022,12356,USA,13,425.46,5530.98
INV15831,23-01-2023,12358,France,8,425.46,3403.68
INV11722,22-11-2022,11845,UK,-1,425.46,-425.46
INV15929,23-09-2022,12583,Germany,2,425.46,850.92
INV15350,17-09-2022,12141,India,12,425.46,5105.52
INV15007,23-12-2022,12648,UK,7,425.46,2978.22
INV13883,16-07-2022,12148,Germany,8,425.46,3403.68
INV10850,27-06-2022,12608,India,11,425.46,4680.06
INV10575,16-04-2023,11431,UK,10,425.46,4254.6
INV12448,05-07-2022,,UK,1,425.46,425.46
INV13107,23-03-2023,12158,India,-1,425.46,-425.46
INV10288,28-01-2023,12715,USA,3,425.46,1276.38
INV12677,29-09-2022,11486,India,3,425.46,1276.38
INV13039,25-04-2022,10136,USA,13,425.46,5530.98
INV14257,09-01-2022,10455,France,0,425.46,0
INV14141,12-03-2022,11018,USA,13,425.46,5530.98
INV11652,21-08-2022,10998,France,1,425.46,425.46
INV14571,02-01-2022,12260,Germany,5,425.46,2127.3
INV12093,16-01-2023,10523,UK,-2,425.46,-850.92
INV14969,25-10-2022,11196,India,9,425.46,3829.14
INV12912,10-09-2022,11572,Germany,3,425.46,1276.38
INV10290,31-01-2022,10192,France,-2,425.46,-850.92
INV12231,15-04-2023,11638,UK,4,425.46,1701.84
INV12278,09-10-2022,10922,India,4,425.46,1701.84
INV10914,17-01-2023,,France,3,425.46,1276.38
INV10265,11-02-2023,10136,USA,12,425.46,5105.52
INV11993,17-06-2023,11671,Germany,-1,425.46,-425.46
INV10269,25-05-2022,,UK,3,425.46,1276.38
INV14011,08-03-2023,12848,Germany,2,425.46,850.92
INV12049,26-03-2023,10074,France,12,425.46,5105.52
INV15407,25-02-2022,11084,UK,-2,425.46,-850.92
INV15006,08-06-2023,11221,USA,0,425.46,0
INV14656,23-03-2023,10649,India,1,425.46,425.46
INV13737,11-11-2022,11274,India,14,425.46,5956.44
INV13569,30-12-2022,10897,France,11,425.46,4680.06
INV11006,07-05-2023,10391,France,6,425.46,2552.76
INV11185,23-03-2022,12740,USA,13,425.46,5530.98
INV13410,25-01-2023,11641,UK,0,425.46,0
INV12624,14-06-2022,11263,India,10,425.46,4254.6
INV15946,13-06-2022,12666,France,9,425.46,3829.14
INV12046,10-05-2022,11078,UK,7,425.46,2978.22
INV15556,15-09-2022,12492,USA,10,425.46,4254.6
INV13578,22-10-2022,11572,USA,9,425.46,3829.14
INV14252,09-03-2023,10466,India,-2,425.46,-850.92
INV12660,19-04-2022,12087,Germany,10,425.46,4254.6
INV15886,07-03-2023,11244,USA,0,425.46,0
INV13370,01-06-2022,10918,India,5,425.46,2127.3
INV11372,27-05-2023,11997,Germany,14,425.46,5956.44
INV12191,14-05-2022,12216,India,13,425.46,5530.98
INV11664,06-02-2022,10058,USA,10,425.46,4254.6
INV13282,11-02-2022,11401,UK,5,425.46,2127.3
INV15351,01-08-2022,12741,Germany,5,425.46,2127.3
INV13760,24-06-2022,,France,14,425.46,5956.44
INV13520,24-02-2023,11714,UK,3,425.46,1276.38
INV12569,02-08-2022,11791,USA,1,425.46,425.46
INV13886,23-05-2022,10590,USA,11,425.46,4680.06
INV12488,28-04-2023,11416,Germany,5,425.46,2127.3
INV15090,29-05-2023,12535,UK,12,425.46,5105.52
INV10176,09-03-2022,10272,France,5,425.46,2127.3
INV15547,02-07-2022,11187,UK,14,425.46,5956.44
INV15013,17-06-2023,12762,France,4,425.46,1701.84
INV12025,16-01-2023,12520,India,12,425.46,5105.52
INV10011,30-08-2022,10716,UK,10,425.46,4254.6
INV13946,16-02-2022,12726,France,3,425.46,1276.38
INV13232,22-08-2022,12494,France,10,425.46,4254.6
INV10808,09-01-2023,12030,USA,2,425.46,850.92
INV11572,16-03-2023,10894,USA,10,425.46,4254.6
INV14165,23-11-2022,12920,UK,10,425.46,4254.6
INV11948,17-04-2023,12064,France,9,425.46,3829.14
INV13901,18-12-2022,12469,Germany,14,425.46,5956.44
INV10366,09-01-2023,11131,France,0,425.46,0
INV12484,19-05-2023,12581,USA,3,425.46,1276.38
INV10647,29-04-2023,11347,France,0,425.46,0
INV11519,14-06-2022,10210,France,0,425.46,0
INV15946,29-04-2023,10015,Germany,4,425.46,1701.84
INV10559,07-07-2022,12236,Germany,11,425.46,4680.06
INV15758,14-01-2022,12701,India,10,425.46,4254.6
INV10958,09-04-2022,11429,UK,12,425.46,5105.52
INV14557,02-10-2022,12293,USA,9,425.46,3829.14
INV15225,26-03-2022,11414,France,13,425.46,5530.98
INV11101,29-10-2022,10381,India,5,425.46,2127.3
INV13608,12-10-2022,10130,USA,3,425.46,1276.38
INV11091,13-04-2023,,France,11,425.46,4680.06
INV15536,15-01-2023,10059,France,3,425.46,1276.38
INV14427,26-12-2022,12096,France,9,425.46,3829.14
INV14326,08-02-2022,12677,USA,0,425.46,0
INV14703,01-12-2022,12479,Germany,2,425.46,850.92
INV10763,12-02-2022,12070,India,7,425.46,2978.22
INV13645,19-08-2022,11478,India,14,425.46,5956.44
INV13934,01-01-2023,12702,USA,4,425.46,1701.84
INV13948,21-02-2022,12201,France,13,425.46,5530.98
INV12475,06-11-2022,12471,France,1,425.46,425.46
INV15708,23-12-2022,11142,France,9,425.46,3829.14
INV13472,13-11-2022,11667,USA,6,425.46,2552.76
INV11658,09-11-2022,10367,USA,3,425.46,1276.38
INV13482,18-01-2022,11470,France,6,425.46,2552.76
INV13937,17-03-2022,12591,France,13,425.46,5530.98
INV10520,19-08-2022,11716,France,4,425.46,1701.84
INV11716,10-05-2022,11094,UK,1,425.46,425.46
INV11630,07-12-2022,10898,India,4,425.46,1701.84
INV11743,15-11-2022,10209,France,7,425.46,2978.22
INV12454,10-11-2022,11288,USA,14,425.46,5956.44
INV14280,23-01-2022,12248,Germany,14,425.46,5956.44
INV11570,21-09-2022,10171,France,7,425.46,2978.22
INV11804,02-07-2022,11422,France,3,425.46,1276.38
INV10260,27-03-2023,10306,USA,-1,425.46,-425.46
INV14140,10-03-2023,10317,India,9,425.46,3829.14
INV15431,09-01-2022,12187,USA,3,425.46,1276.38
INV11300,30-10-2022,12996,USA,3,425.46,1276.38
INV10811,23-01-2023,10517,USA,1,425.46,425.46
INV12232,22-05-2023,12058,UK,4,425.46,1701.84
INV12709,09-03-2023,12088,USA,14,425.46,5956.44
INV11970,09-02-2022,10520,India,9,425.46,3829.14
INV10018,12-12-2022,11410,France,1,425.46,425.46
INV13013,24-05-2023,10237,France,7,425.46,2978.22
INV13943,10-03-2023,12787,Germany,7,425.46,2978.22
INV14343,29-05-2023,12362,India,-1,425.46,-425.46
INV10005,16-07-2022,12597,USA,-1,425.46,-425.46
INV11669,15-01-2023,11347,USA,5,425.46,2127.3
INV11862,28-03-2023,10905,Germany,4,425.46,1701.84
INV13551,06-05-2023,11074,France,11,425.46,4680.06
INV13229,16-02-2022,10852,India,12,425.46,5105.52
INV15520,19-07-2022,10455,Germany,7,425.46,2978.22
INV10938,09-02-2023,10154,India,-1,425.46,-425.46
INV11270,12-09-2022,11195,Germany,-1,425.46,-425.46
INV10942,25-10-2022,11699,India,8,425.46,3403.68
INV13140,02-01-2023,11412,USA,8,425.46,3403.68
INV10238,18-01-2022,11226,France,13,425.46,5530.98
INV12150,13-03-2023,10103,Germany,5,425.46,2127.3
INV15837,27-05-2022,11142,UK,10,425.46,4254.6
INV15570,02-01-2023,10349,UK,3,425.46,1276.38
INV10908,19-08-2022,12122,USA,6,425.46,2552.76
INV12870,10-03-2023,10945,India,5,425.46,2127.3
INV15208,17-10-2022,11547,India,13,425.46,5530.98
INV10091,11-12-2022,11078,France,0,425.46,0
INV11019,26-04-2023,11596,Germany,9,425.46,3829.14
INV13088,21-12-2022,10590,Germany,8,425.46,3403.68
INV14590,15-04-2023,10248,USA,10,425.46,4254.6
INV15500,06-05-2023,10745,USA,13,425.46,5530.98
INV10645,20-01-2023,10754,UK,-2,425.46,-850.92
INV10104,11-02-2023,10731,India,5,425.46,2127.3
INV10605,21-02-2022,11048,Germany,11,425.46,4680.06
INV14791,14-07-2022,12801,Germany,4,425.46,1701.84
INV11230,07-06-2022,11350,India,12,425.46,5105.52
INV10966,14-01-2022,10180,USA,8,425.46,3403.68
INV11214,19-03-2022,12316,USA,6,425.46,2552.76
INV11410,24-03-2022,12991,UK,4,425.46,1701.84
INV12597,03-07-2022,10770,UK,6,425.46,2552.76
INV14438,14-07-2022,10030,Germany,0,425.46,0
INV11265,10-05-2023,11551,France,2,425.46,850.92
INV14910,05-01-2022,12564,UK,8,425.46,3403.68
INV15385,11-03-2022,12889,UK,13,425.46,5530.98
INV13599,18-03-2022,11984,UK,5,425.46,2127.3
INV15012,01-09-2022,10442,UK,4,425.46,1701.84
INV11891,30-08-2022,11673,India,8,425.46,3403.68
INV11941,23-02-2022,10084,USA,-2,425.46,-850.92
INV13270,06-11-2022,10191,USA,13,425.46,5530.98
INV13540,23-07-2022,10811,USA,0,425.46,0
INV14992,02-09-2022,11635,France,-1,425.46,-425.46
INV14308,14-06-2023,10190,UK,13,425.46,5530.98
INV14641,25-05-2023,,Germany,4,425.46,1701.84
INV15653,05-08-2022,11804,Germany,1,425.46,425.46
INV15954,23-04-2023,10565,India,4,425.46,1701.84
INV13211,05-08-2022,10198,Germany,10,425.46,4254.6
INV12504,07-10-2022,11059,USA,3,425.46,1276.38
INV13755,19-01-2023,12343,Germany,-1,425.46,-425.46
INV15885,23-03-2023,12072,UK,3,425.46,1276.38
INV14917,14-12-2022,10179,USA,6,425.46,2552.76
INV12823,08-05-2023,10543,USA,9,425.46,3829.14
INV14501,30-01-2023,,Germany,4,425.46,1701.84
INV15395,14-12-2022,12347,UK,8,425.46,3403.68
INV10434,03-04-2023,11177,India,5,425.46,2127.3
INV12275,28-03-2023,12066,UK,8,425.46,3403.68
INV12897,18-04-2023,11640,UK,8,425.46,3403.68
INV15665,22-03-2023,10238,UK,14,425.46,5956.44
INV12824,01-05-2022,11864,USA,2,425.46,850.92
INV12932,17-05-2022,11438,India,12,425.46,5105.52
INV14815,13-04-2022,11901,Germany,4,425.46,1701.84
INV11994,18-04-2022,12880,India,1,425.46,425.46
INV11810,25-01-2022,10106,UK,12,425.46,5105.52
INV13035,10-01-2022,10605,USA,9,425.46,3829.14
INV12491,26-01-2022,10571,Germany,-1,425.46,-425.46
INV12010,22-03-2023,12910,France,11,425.46,4680.06
INV12151,17-11-2022,12685,India,2,425.46,850.92
INV13968,02-07-2022,11890,France,14,425.46,5956.44
INV15005,10-03-2022,11960,USA,4,425.46,1701.84
INV11176,27-07-2022,10904,Germany,13,425.46,5530.98
INV15809,13-04-2023,12157,France,9,425.46,3829.14
INV12243,19-01-2023,12399,UK,1,425.46,425.46
INV11148,06-04-2023,11298,France,10,425.46,4254.6
INV14704,30-01-2022,10188,USA,13,425.46,5530.98
INV14826,29-08-2022,11468,France,2,425.46,850.92
INV10337,08-06-2022,12737,USA,13,425.46,5530.98
INV15835,28-05-2023,12542,Germany,14,425.46,5956.44
INV12177,31-12-2022,12251,India,13,425.46,5530.98
INV11829,29-04-2022,10434,France,7,425.46,2978.22
INV14901,27-03-2023,12129,Germany,0,425.46,0
INV15046,29-05-2022,10943,UK,-1,425.46,-425.46
INV10496,25-01-2022,11529,India,12,425.46,5105.52
INV10969,29-08-2022,10241,UK,-1,425.46,-425.46
INV12907,06-11-2022,10469,USA,1,425.46,425.46
INV14819,05-04-2022,10063,UK,11,425.46,4680.06
INV13266,29-05-2023,10744,Germany,6,425.46,2552.76
INV13183,04-03-2023,11309,USA,3,425.46,1276.38
INV15882,21-05-2022,10165,India,7,425.46,2978.22
INV15503,09-11-2022,12707,Germany,12,425.46,5105.52
INV10944,03-01-2023,10533,Germany,2,425.46,850.92
INV11482,22-10-2022,11996,UK,-2,425.46,-850.92
INV13232,03-09-2022,11181,France,13,425.46,5530.98
INV10254,14-12-2022,11900,India,13,425.46,5530.98
INV14930,07-03-2022,10078,UK,3,425.46,1276.38
INV13990,08-06-2023,10306,Germany,10,425.46,4254.6
INV13964,23-01-2023,12270,France,0,425.46,0
INV13779,24-01-2023,10347,Germany,11,425.46,4680.06
INV10937,13-01-2023,11357,Germany,9,425.46,3829.14
INV11717,25-01-2022,11367,France,8,425.46,3403.68
INV12127,05-02-2023,12461,USA,13,425.46,5530.98
INV15108,18-06-2023,10364,India,14,425.46,5956.44
INV15734,01-01-2023,11365,USA,13,425.46,5530.98
INV12377,13-03-2022,10223,France,1,425.46,425.46
INV11065,21-12-2022,10522,USA,9,425.46,3829.14
INV10292,02-09-2022,11928,France,10,425.46,4254.6
INV10424,10-04-2022,12239,India,9,425.46,3829.14
INV12828,19-08-2022,12593,UK,14,425.46,5956.44
INV11378,15-05-2023,10719,France,-2,425.46,-850.92
INV15974,11-07-2022,10091,India,9,425.46,3829.14
INV14805,19-02-2022,11589,Germany,5,425.46,2127.3
INV12107,16-03-2023,12499,USA,9,425.46,3829.14
INV11359,10-03-2023,11460,India,14,425.46,5956.44
INV12213,28-01-2022,10048,Germany,-1,425.46,-425.46
INV13442,08-04-2023,12260,UK,11,425.46,4680.06
INV11110,11-01-2022,12549,USA,11,425.46,4680.06
INV15092,13-04-2023,11779,France,2,425.46,850.92
INV12707,27-05-2022,10519,Germany,1,425.46,425.46
INV12412,29-04-2023,12298,France,-1,425.46,-425.46
INV13385,12-03-2022,10430,USA,14,425.46,5956.44
INV12542,18-06-2023,11292,USA,2,425.46,850.92
INV10343,13-08-2022,10513,France,7,425.46,2978.22
INV15701,23-11-2022,11419,USA,3,425.46,1276.38
INV15848,23-10-2022,11427,Germany,13,425.46,5530.98
INV11562,19-06-2022,10366,Germany,1,425.46,425.46
INV11525,12-07-2022,11072,India,11,425.46,4680.06
INV15410,11-06-2022,12083,UK,7,425.46,2978.22
INV12640,11-06-2022,11535,Germany,8,425.46,3403.68
INV15929,19-12-2022,12998,France,2,425.46,850.92
INV13923,14-04-2022,10430,France,8,425.46,3403.68
INV11826,31-01-2022,12651,India,12,425.46,5105.52
INV13007,23-02-2022,12396,Germany,2,425.46,850.92
INV12890,12-03-2023,12832,India,10,425.46,4254.6
INV12884,24-07-2022,12375,India,-1,425.46,-425.46
INV13267,05-09-2022,12157,India,7,425.46,2978.22
INV13588,20-03-2023,12519,India,-1,425.46,-425.46
INV14330,10-02-2022,12581,India,3,425.46,1276.38
INV12874,01-06-2023,10892,France,7,425.46,2978.22
INV14720,04-04-2022,11726,Germany,-2,425.46,-850.92
INV15048,13-02-2023,11720,France,10,425.46,4254.6
INV11866,04-05-2022,10871,France,8,425.46,3403.68
INV13144,17-02-2022,10305,USA,12,425.46,5105.52
INV11885,10-01-2022,12940,USA,6,425.46,2552.76
INV13584,29-04-2023,10578,UK,14,425.46,5956.44
INV13764,03-05-2022,12772,UK,8,425.46,3403.68
INV14721,27-11-2022,10018,India,-2,425.46,-850.92
INV11556,20-10-2022,10876,Germany,-1,425.46,-425.46
INV11660,14-01-2022,11143,UK,1,425.46,425.46
INV15597,15-10-2022,11763,USA,11,425.46,4680.06
INV11567,21-04-2022,11264,Germany,3,425.46,1276.38
INV13440,27-05-2022,10380,UK,5,425.46,2127.3
INV15681,30-04-2023,11551,France,10,425.46,4254.6
INV14330,14-03-2022,12380,France,9,425.46,3829.14
INV14210,02-03-2022,11221,UK,14,425.46,5956.44
INV15952,20-06-2022,10438,USA,3,425.46,1276.38
INV12210,29-04-2023,11959,USA,9,425.46,3829.14
INV10084,20-04-2022,11619,USA,-2,425.46,-850.92
INV11103,06-06-2023,11002,Germany,-2,425.46,-850.92
INV14497,30-05-2023,12945,USA,3,425.46,1276.38
INV12274,25-03-2023,10473,Germany,11,425.46,4680.06
INV15239,28-07-2022,12458,France,0,425.46,0
INV11142,16-12-2022,11817,Germany,7,425.46,2978.22
INV13875,01-05-2023,11877,France,1,425.46,425.46
INV10853,01-07-2022,10925,UK,4,425.46,1701.84
INV10998,08-04-2022,11411,UK,1,425.46,425.46
INV13245,06-09-2022,11036,Germany,0,425.46,0
INV13928,19-10-2022,10194,UK,-1,425.46,-425.46
INV11468,13-02-2023,12500,UK,11,425.46,4680.06
INV12262,24-09-2022,12771,Germany,14,425.46,5956.44
INV11500,22-01-2023,11465,UK,13,425.46,5530.98
INV12291,03-11-2022,10710,France,5,425.46,2127.3
INV13979,18-01-2023,11168,USA,14,425.46,5956.44
INV11400,11-01-2022,10952,USA,0,425.46,0
INV15131,25-10-2022,12180,UK,6,425.46,2552.76
INV12454,18-01-2022,12656,USA,1,425.46,425.46
INV15020,28-10-2022,11689,Germany,-1,425.46,-425.46
INV10834,28-01-2023,,India,0,425.46,0
INV10093,01-03-2022,11060,Germany,10,425.46,4254.6
INV13431,14-03-2022,10803,UK,5,425.46,2127.3
INV14406,17-05-2023,12315,Germany,9,425.46,3829.14
INV10682,15-05-2022,10998,UK,9,425.46,3829.14
INV10090,26-04-2023,11060,UK,8,425.46,3403.68
INV14241,06-08-2022,10145,UK,5,425.46,2127.3
INV10144,23-10-2022,11703,Germany,5,425.46,2127.3
INV11607,15-07-2022,12473,USA,9,425.46,3829.14
INV11654,16-03-2023,11356,France,6,425.46,2552.76
INV11080,30-05-2023,11715,India,9,425.46,3829.14
INV14341,09-04-2022,12199,UK,6,425.46,2552.76
INV12814,01-09-2022,11945,UK,7,425.46,2978.22
INV14270,03-05-2023,10569,Germany,3,425.46,1276.38
INV15187,09-09-2022,10030,France,12,425.46,5105.52
INV10796,24-08-2022,10802,UK,10,425.46,4254.6
INV15804,16-04-2023,11935,France,12,425.46,5105.52
INV12340,13-02-2023,12101,India,0,425.46,0
INV11055,09-03-2023,12640,Germany,-2,425.46,-850.92
INV10634,05-04-2023,12334,USA,7,425.46,2978.22
INV15013,01-08-2022,10653,France,10,425.46,4254.6
INV11211,08-01-2023,11776,UK,10,425.46,4254.6
INV13100,15-07-2022,12218,UK,0,425.46,0
INV14651,21-03-2023,12393,Germany,14,425.46,5956.44
INV13418,02-10-2022,11149,USA,7,425.46,2978.22
INV12181,13-03-2022,10132,UK,9,425.46,3829.14
INV13905,19-05-2023,11932,India,0,425.46,0
INV15333,27-05-2023,12467,UK,3,425.46,1276.38
INV11716,30-07-2022,12166,Germany,11,425.46,4680.06
INV13057,17-01-2023,12243,UK,14,425.46,5956.44
INV11014,24-11-2022,12585,UK,6,425.46,2552.76
INV13450,25-01-2023,12515,India,4,425.46,1701.84
INV13093,23-10-2022,11429,India,13,425.46,5530.98
INV10614,17-11-2022,11153,India,-2,425.46,-850.92
INV11400,07-10-2022,11342,Germany,14,425.46,5956.44
INV14261,15-08-2022,11360,India,6,425.46,2552.76
INV15913,28-08-2022,12256,Germany,11,425.46,4680.06
